time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
139264,68,493,0.4483889,282,83.92,0.5295891165733337,0.012147699021443258,-0.013102514136699028,0.14697265625,0.0003,-0.8998436937108636,0.2,670,0.015567712,-0.0260940995067358
141312,69,492,0.47833335999999993,286,81.81,0.5763936042785645,0.009715845189930405,-0.01171159645455191,0.11328125,0.0003,-0.8574780125170947,0.2,680,0.011864328,-0.014093834906816483
143360,70,492,0.49938891000000013,291,81.19,0.5889206528663635,0.011963856802321971,-0.011490025282546413,0.13896484375,0.0003,-0.8479698112234473,0.2,690,0.010511046,-0.004747902043163776
145408,71,491,0.5025833399999999,295,79.37,0.5015801787376404,0.011484196611854713,-0.011018020573828835,0.128173828125,0.0003,-0.9043512262403965,0.2,700,0.011898564,-0.007673655170947313
147456,72,491,0.48508332,300,81.29,0.5315217971801758,0.013159271863696632,-0.009648518246831373,0.131396484375,0.0003,-0.8814452363178134,0.2,710,0.01702891,0.025900837033987045
149504,73,490,0.50005553,304,80.03,0.38788074254989624,0.011574333181488327,-0.01031521177283139,0.1234375,0.0003,-0.8902280772104859,0.2,720,0.015610121,-0.038656797260046005
151552,74,490,0.49399999,309,80.62,0.5301879644393921,0.010626186917943415,-0.010539462920860387,0.1318359375,0.0003,-0.8435842653736472,0.2,730,0.018947743,-0.018371807411313057
153600,75,489,0.53177779,313,79.19,0.5055654048919678,0.010953436353884172,-0.01250983361096587,0.170458984375,0.0003,-0.9625791316851974,0.2,740,0.015437219,-0.020173989236354828
155648,76,489,0.5382778,318,79.53,0.5781673192977905,0.010464259004220367,-0.01044186953222379,0.14951171875,0.0003,-0.9127029599621892,0.2,750,0.012458291,-0.024852674454450607
157696,77,489,0.5654444700000001,322,78.72,0.3857051730155945,0.011351131720584818,-0.015270862830220722,0.157861328125,0.0003,-0.899962324090302,0.2,760,0.020055976,-0.01919085718691349
159744,78,488,0.57719444,326,74.99,0.5475976467132568,0.010020353460276965,-0.015402509801788256,0.18671875,0.0003,-0.8781683186069131,0.2,770,0.025205797,0.008244405500590801
