time/fps,time/total_timesteps,shield/actions_allowed,rollout/ep_rew_mean,time/iterations,shield/actions_block_ignored,shield/actions_blocked,shield/constant_delta,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,shield/stage,shield/transition_timestep,shield/ignore_prob
3838,4521984,2273391,0.7535833120346069,92,0,1997080,,1177,39.89,0.0003,0.010681262446693533,910,0.003726307,0.2,0.030464680989583333,-0.39527315107795097,-0.0018542153932382158,0.0010548769496381283,0.5355770587921143,,,
3838,4571136,2297801,0.7645555138587952,93,0,2020930,,1190,39.88,0.0003,0.01140276844453183,920,0.0028020174,0.2,0.030057779947916665,-0.39719720943830905,-0.0013612188824784729,0.006996286567300558,0.5191131830215454,,,
3838,4620288,2322350,0.7890278100967407,94,0,2044666,,1203,41.0,0.0003,0.01092569405688361,930,0.0035382675,0.2,0.030548095703125,-0.39597676509680846,-0.00204630022769076,0.0025382209569215775,0.5036911964416504,,,
3838,4669440,2346924,0.7741666436195374,95,0,2068331,,1216,40.13,0.0003,0.009458932203900379,940,0.0043486864,0.2,0.03084716796875,-0.40595030506762364,-0.0019694467873099105,-0.0029266481287777424,0.5258557796478271,,,
3838,4718592,2371409,0.7167500257492065,96,0,2092087,,1229,36.32,0.0003,0.011166233235902231,950,0.002868437,0.2,0.030173746744791667,-0.4033605160812537,-0.001662248361450717,0.010792689397931099,0.5088309645652771,,,
3838,4767744,2395712,0.7965000867843628,97,0,2115946,,1242,42.49,0.0003,0.009803550568418966,960,0.0031251267,0.2,0.031982421875,-0.4017495562322438,-0.0018928879576075512,-0.005817153491079807,0.533656120300293,,,
3838,4816896,2419794,0.7452499866485596,98,0,2140108,,1255,43.93,0.0003,0.010024183508357964,970,0.0027258873,0.2,0.03134358723958333,-0.3892690428998321,-0.0018803391401282473,0.0019450299441814423,0.5372940301895142,,,
3837,4866048,2443934,0.7326944470405579,99,0,2164303,,1268,40.86,0.0003,0.010367793230398093,980,0.0027209967,0.2,0.029990641276041667,-0.3746146307326853,-0.0016965645627351478,-0.002736966125667095,0.5237014293670654,,,
3836,4915200,2467911,0.7296665906906128,100,0,2188615,,1281,41.51,0.0003,0.011194925841118674,990,0.0031677887,0.2,0.029026285807291666,-0.37200274663046,-0.0016550971589216108,0.006487324833869934,0.5134350061416626,,,
3835,4964352,2492019,0.746472179889679,101,0,2212855,,1294,39.02,0.0003,0.012019058786730359,1000,0.0027280312,0.2,0.0302490234375,-0.3727397844971468,-0.0018604973078254262,-0.0057876454666256905,0.5113593935966492,,,
3833,5013504,2516092,0.7611944079399109,102,0,2237195,,1307,38.35,0.0003,0.010756784812595772,1010,0.003923124,0.2,0.03106689453125,-0.37106784937592846,-0.0018593666899808644,0.0046938881278038025,0.5201448798179626,,,
