time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/explained_variance,train/policy_gradient_loss
660,4762,3145728,64,18.65,0.7969295978546143,0.011116789653897285,-0.12172550491134947,630,0.01842865521806137,0.0003,0.017626953125,0.026915098,0.2,0.2768247723579407,-0.001123142735256503
670,4763,3194880,65,16.81,0.6949804425239563,0.0063692196272313595,-0.11753882684279233,640,0.017436764520728804,0.0003,0.012253824869791667,0.0021389658,0.2,0.285489022731781,-0.0008114033341977726
680,4765,3244032,66,18.97,0.7952070832252502,0.012064486742019653,-0.14589719718011718,650,0.0170847404243735,0.0003,0.05249226888020833,0.02177822,0.2,0.2856183648109436,-0.0017653503452796334
691,4765,3293184,67,18.77,0.7969648838043213,0.00978122092783451,-0.15838941895247746,660,0.01844994289276656,0.0003,0.05639851888020833,0.01566801,0.2,0.2769271731376648,-0.0021047296397531073
701,4764,3342336,68,18.01,0.7702694535255432,0.000349611509591341,-0.13525799090275542,670,0.016644539268842587,0.0003,0.027836100260416666,0.024140699,0.2,0.2920476198196411,-0.0013593262137874262
711,4766,3391488,69,18.41,0.8364023566246033,0.0074314852245152,-0.13231766703538597,680,0.018411154069205318,0.0003,0.019224039713541665,0.0039725346,0.2,0.27700936794281006,-0.0009099799051303611
721,4767,3440640,70,17.74,0.7495313286781311,0.006472893990576267,-0.1270030197726252,690,0.017861898581759305,0.0003,0.019303385416666666,0.0030844957,0.2,0.2877620458602905,-0.0012627377879349904
731,4769,3489792,71,17.83,0.7604101300239563,0.008228521794080734,-0.12273321851389482,700,0.01838830263756487,0.0003,0.01510009765625,0.0021310577,0.2,0.27706098556518555,-0.0010586336467895308
741,4771,3538944,72,18.55,0.7592499256134033,0.00826183520257473,-0.119545539348231,710,0.01744761166458678,0.0003,0.013397216796875,0.0013517091,0.2,0.2846226692199707,-0.0007133948635479707
751,4772,3588096,73,18.07,0.8086522817611694,0.008394020609557629,-0.126311142447715,720,0.017637563620034293,0.0003,0.016534423828125,0.011974204,0.2,0.2765941023826599,-0.0010335773744373001
761,4774,3637248,74,17.83,0.7508320808410645,0.0037195985205471516,-0.15694649249004822,730,0.018280307436483175,0.0003,0.02760009765625,0.0026436292,0.2,0.271769642829895,-0.0018746624075599053
772,4773,3686400,75,17.59,0.7803748846054077,0.009627200663089752,-0.15396055041346698,740,0.017384891412802972,0.0003,0.020037841796875,0.0025067301,0.2,0.28104305267333984,-0.0010228770836571736
782,4773,3735552,76,17.08,0.7607617378234863,0.002647259272634983,-0.15123242961708455,750,0.018532668138019896,0.0003,0.020115152994791666,0.0064637945,0.2,0.28594136238098145,-0.001176723881083793
792,4772,3784704,77,18.72,0.796754002571106,0.012999781407415867,-0.1466688771499321,760,0.018257192165522913,0.0003,0.01741943359375,0.0024078547,0.2,0.28302621841430664,-0.0010749287474936865
803,4772,3833856,78,18.4,0.8665428757667542,0.006807631812989712,-0.1346699020670106,770,0.018820042441317734,0.0003,0.015165201822916667,0.0015314864,0.2,0.2827602028846741,-0.0010846484733823066
813,4772,3883008,79,17.68,0.7815352082252502,0.010914016515016556,-0.13703061404327552,780,0.01774248491419712,0.0003,0.018060302734375,0.0031204708,0.2,0.2816779613494873,-0.0010053967607442853
823,4773,3932160,80,20.54,0.8584921360015869,0.005907171405851841,-0.16475982795624683,790,0.0168365109161338,0.0003,0.025213623046875,0.006121304,0.2,0.2835371494293213,-0.001314332530031
833,4774,3981312,81,17.5,0.7499179840087891,0.011905975639820099,-0.16426504886864374,800,0.01778021175947894,0.0003,0.022548421223958334,0.0022509862,0.2,0.2770536541938782,-0.0011814929782606972
846,4761,4030464,82,17.91,0.7203398942947388,0.004992233589291573,-0.15989201593523225,810,0.01600410214838727,0.0003,0.023240152994791666,0.0020916553,0.2,0.2935212254524231,-0.0011609101947215096
856,4760,4079616,83,17.21,0.7525196075439453,0.0037107220850884914,-0.16318045133181538,820,0.01686982526104354,0.0003,0.022764078776041665,0.0060707736,0.2,0.27912282943725586,-0.0012538088030244884
867,4761,4128768,84,18.54,0.7774219512939453,0.009605692699551582,-0.1776309923850931,830,0.017984561344201212,0.0003,0.023309326171875,0.009328509,0.2,0.2798073887825012,-0.0012728365216995976
877,4761,4177920,85,19.46,0.7642928957939148,0.008923271670937538,-0.21182982661606123,840,0.01646536696049831,0.0003,0.03717041015625,0.004626091,0.2,0.29577165842056274,-0.0013729575261095307
887,4762,4227072,86,20.26,0.7525703310966492,0.012856035493314266,-0.2564354688627645,850,0.01592046288133133,0.0003,0.04217936197916667,0.008766215,0.2,0.2893451452255249,-0.0016981273264112435
897,4763,4276224,87,18.33,0.7586874961853027,0.0011938521638512611,-0.24249098405707628,860,0.014474555114914741,0.0003,0.043253580729166664,0.023604905,0.2,0.2941061854362488,-0.002305967749513608
907,4764,4325376,88,17.74,0.7995311617851257,0.006762085948139429,-0.20403847195363292,870,0.017760538827133132,0.0003,0.036309814453125,0.011930465,0.2,0.2814543843269348,-0.0016767496191581208
918,4765,4374528,89,17.85,0.7516757845878601,0.006924765184521675,-0.17958723652021338,880,0.017134474358560206,0.0003,0.020924886067708332,0.0017572133,0.2,0.2924025058746338,-0.0011294757547754368
928,4766,4423680,90,17.45,0.7417109608650208,-0.0003099655732512474,-0.17715663481503724,890,0.01742930247176749,0.0003,0.025587972005208334,0.0034112446,0.2,0.2862427830696106,-0.0014632990649867375
938,4765,4472832,91,17.06,0.7535039782524109,0.008695501834154129,-0.17126447782696536,900,0.018023920904791643,0.0003,0.023874918619791668,0.0048525934,0.2,0.2790776491165161,-0.0013714037637934477
948,4767,4521984,92,18.45,0.7490038871765137,0.012155398726463318,-0.1529070593455496,910,0.016660119017857748,0.0003,0.018509928385416666,0.0020822163,0.2,0.29298126697540283,-0.001124638062477364
958,4768,4571136,93,16.04,0.6687070727348328,0.009742960333824158,-0.15133349822135642,920,0.017230601318199965,0.0003,0.020326741536458335,0.003696645,0.2,0.2799205780029297,-0.0012903306593822588
968,4770,4620288,94,18.94,0.8051719069480896,0.006354580167680979,-0.14876159805959713,930,0.019591320643909664,0.0003,0.017232259114583332,0.0035995927,0.2,0.27381283044815063,-0.000982161976298812
978,4771,4669440,95,18.24,0.7873516082763672,0.0011279000900685787,-0.1439459387756263,940,0.018618069017247763,0.0003,0.015342203776041667,0.0031110812,0.2,0.2827557921409607,-0.0009180644801745075
988,4772,4718592,96,18.26,0.7870350480079651,0.012550062499940395,-0.1634786582629507,950,0.016457278495605958,0.0003,0.026127115885416666,0.0045543606,0.2,0.2934912443161011,-0.0015591452403896256
998,4773,4767744,97,18.82,0.7865781188011169,0.0067927176132798195,-0.18018558891490102,960,0.018337965375879624,0.0003,0.029347737630208332,0.0046859398,0.2,0.2740028500556946,-0.0017924289844813758
1008,4774,4816896,98,18.18,0.7802694439888,0.009128370322287083,-0.16328456598566846,970,0.01789058956298201,0.0003,0.020965576171875,0.003178496,0.2,0.2841341495513916,-0.0013118682723264404
1018,4776,4866048,99,18.98,0.8047149777412415,0.008358453400433064,-0.15604440923780202,980,0.018201225700856107,0.0003,0.017781575520833332,0.0023064984,0.2,0.274139404296875,-0.000987606597118429
1028,4777,4915200,100,18.09,0.7686171531677246,0.0067233433946967125,-0.14874794628315915,990,0.016876221329342418,0.0003,0.017856852213541666,0.0029816942,0.2,0.29032033681869507,-0.0011049974862241167
1038,4778,4964352,101,17.68,0.7897422313690186,0.008490515872836113,-0.13869540753463905,1000,0.017337397232283062,0.0003,0.017836507161458334,0.0014767894,0.2,0.2852347493171692,-0.0009149211749900132
1051,4769,5013504,102,16.88,0.7828007340431213,0.010144219733774662,-0.1334423694643192,1010,0.01792769451494678,0.0003,0.015423583984375,0.0027045887,0.2,0.2868303656578064,-0.0007233436073875055
