time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
145408,71,461,0.86646431,314,26.64,0.2669628858566284,0.01038701419129211,-0.009296797309070825,0.106298828125,0.0003,-0.30342325097881256,0.2,700,0.015372423,-0.021685441955924034
147456,72,462,0.8685713999999999,319,25.98,0.34430235624313354,0.007330755644215969,-0.007918840899219504,0.0720703125,0.0003,-0.26424719612114134,0.2,710,0.013089647,-0.004704310093075037
149504,73,462,0.8557857399999999,323,27.04,0.4352346658706665,0.006440208035201067,-0.006348527372756508,0.051904296875,0.0003,-0.27593146516010164,0.2,720,0.010120757,0.008547286503016949
151552,74,462,0.8312857,327,26.68,0.3915122151374817,0.007999702246888774,-0.007606601288716775,0.06181640625,0.0003,-0.2937714242376387,0.2,730,0.00892728,-0.016049541532993317
153600,75,462,0.85103571,331,25.69,0.23815345764160156,0.013932355893484783,-0.009437824490305502,0.06572265625,0.0003,-0.29249289324507116,0.2,740,0.0075538745,-0.0090385302901268
155648,76,462,0.8808571400000001,336,28.09,0.31583577394485474,0.008134814073491725,-0.010611270540539407,0.08486328125,0.0003,-0.3010104421060532,0.2,750,0.01646049,-0.01838083378970623
157696,77,463,0.8732857300000001,340,27.41,0.5479570627212524,0.002559036511593149,-0.012047990631253924,0.146044921875,0.0003,-0.38102905713021756,0.2,760,0.033575192,-0.005022368859499693
159744,78,463,0.85699999,344,26.41,0.37581896781921387,0.006865579023360624,-0.008968909129907842,0.09384765625,0.0003,-0.3580160136334598,0.2,770,0.015223508,0.03456910699605942
161792,79,463,0.8493571700000001,349,26.1,0.3982768654823303,0.0068938435149902945,-0.00919896547566168,0.071533203125,0.0003,-0.32242107316851615,0.2,780,0.013113982,-0.005546655505895615
163840,80,463,0.8532499899999999,353,27.74,0.3944258689880371,0.008026361164593255,-0.007507849893590901,0.0763671875,0.0003,-0.30262824092060325,0.2,790,0.015774472,0.0061502838507294655
165888,81,462,0.8784643099999999,358,28.52,0.21421802043914795,0.00474277686298592,-0.004415740599506534,0.071630859375,0.0003,-0.2900305276736617,0.2,800,0.018083658,-0.015804631635546684
