time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate
135168,0.8974599999999998,295,457,8.28,66,0.004302592948079109,-0.21879186164587736,-0.003293631106498651,0.0017086712,650,0.028173828125,0.052139878273010254,0.016022571565554245,0.2,0.0003
137216,0.9139400000000001,300,457,7.53,67,0.007834256626665592,-0.19782763901166617,-0.0020637324356357566,0.0012174641,660,0.021533203125,0.06400078535079956,0.010866880266985391,0.2,0.0003
139264,0.8890899999999999,304,456,9.2,68,0.010683927685022354,-0.1996540197171271,-0.004007453527447069,0.017588355,670,0.030712890625,0.08043032884597778,0.016476490977584034,0.2,0.0003
141312,0.89323,309,456,8.74,69,-0.011385916732251644,-0.25172097599133847,0.004637820931748138,0.053343035,680,0.10478515625,0.129502534866333,0.012879474769579246,0.2,0.0003
143360,0.8778199999999999,314,455,8.35,70,0.020591776818037033,-0.2369222655892372,-0.0008210407155274879,0.0021089506,690,0.021337890625,0.16177505254745483,0.013947038381593302,0.2,0.0003
145408,0.90547,319,455,7.32,71,0.006341586820781231,-0.17057869769632816,-0.0047501378787274005,0.0049944716,700,0.026806640625,0.21783626079559326,0.0163656010030536,0.2,0.0003
147456,0.9074599999999999,324,454,8.27,72,0.004213889129459858,-0.15984427682124078,-0.002624049955920782,0.005643154,710,0.019775390625,0.07087385654449463,0.015123131719519733,0.2,0.0003
149504,0.91053,328,454,8.86,73,0.01472308300435543,-0.16665272749960422,-0.004733253778249491,0.0027412449,720,0.02412109375,0.06073415279388428,0.02283379176224116,0.2,0.0003
151552,0.8814199999999999,333,454,8.01,74,0.006652550771832466,-0.14950016094371676,-0.004191733447805745,0.003529883,730,0.025732421875,0.07048648595809937,0.02226480801400612,0.2,0.0003
153600,0.90124,338,454,7.76,75,-0.0015419060364365578,-0.1346685583004728,-0.0031996405879908705,0.0013374337,740,0.019677734375,0.08335351943969727,0.02057939815131249,0.2,0.0003
155648,0.8962899999999998,342,453,8.38,76,0.009219636209309101,-0.11614260015776381,-0.0016838660834764597,0.0016835325,750,0.016259765625,0.11469310522079468,0.01046427684414084,0.2,0.0003
157696,0.9152999999999999,347,453,8.4,77,0.004912312608212233,-0.11383223903831094,-0.0014631087622547056,0.00097049493,760,0.014892578125,0.08339560031890869,0.019888381703640334,0.2,0.0003
159744,0.9054799999999998,352,453,8.34,78,0.009440302848815918,-0.10629702375736087,-0.003258215189271141,0.0013610164,770,0.018701171875,0.11659306287765503,0.014809018827145337,0.2,0.0003
161792,0.8732299999999998,356,453,8.94,79,-0.009443052113056183,-0.12044500461779535,-0.004015002524101874,0.0066634673,780,0.021337890625,0.05113041400909424,0.005187856147313141,0.2,0.0003
163840,0.89296,361,453,8.73,80,0.021454907953739166,-0.3078985488973558,-0.0022225092092412525,0.0071539353,790,0.07939453125,0.07445687055587769,0.022856954251619755,0.2,0.0003
165888,0.8838599999999999,365,453,8.75,81,0.01111696194857359,-0.297887772647664,-0.00809402196246083,0.013252696,800,0.09619140625,0.062068939208984375,0.014220736762945307,0.2,0.0003
167936,0.8605300000000001,370,453,9.46,82,-0.0002998253330588341,-0.2900332322344184,-0.004195840764441528,0.004241257,810,0.053515625,0.042237818241119385,0.024012555430090288,0.2,0.0003
169984,0.8948499999999998,374,453,8.61,83,-0.00621394906193018,-0.2568417193368077,-0.005187033435504418,0.051626906,820,0.05302734375,0.05220627784729004,0.019568633953895187,0.2,0.0003
172032,0.89188,379,453,8.97,84,-0.00921669788658619,-0.3245655034203082,-0.004869689998304239,0.031701155,830,0.07587890625,0.006313443183898926,0.011857717832754133,0.2,0.0003
174080,0.8931399999999999,384,453,8.7,85,0.0034442059695720673,-0.39967330247163774,-0.00593241118331207,0.01664466,840,0.083447265625,0.06192624568939209,0.01972364967514295,0.2,0.0003
176128,0.8833199999999999,389,452,8.68,86,-0.033847250044345856,-0.43261783216148614,-0.005300186294334708,0.008010713,850,0.086328125,0.1135871410369873,0.01359522472412209,0.2,0.0003
178176,0.8921599999999998,393,452,9.98,87,0.010841241106390953,-0.4294128980487585,-0.004342733794328524,0.008519536,860,0.06435546875,0.1291821002960205,0.010037066782388138,0.2,0.0003
180224,0.8716099999999999,398,452,9.22,88,0.0036598369479179382,-0.3835937572643161,-0.004439498078136239,0.008207929,870,0.069482421875,0.040499866008758545,0.017431181402207584,0.2,0.0003
182272,0.8862899999999998,402,452,8.48,89,0.0041729724034667015,-0.36820371691137554,-0.002063442359212786,0.0032898965,880,0.03671875,0.06841367483139038,0.023642045135056834,0.2,0.0003
184320,0.9063799999999997,407,452,8.26,90,-0.003523358143866062,-0.32711009667254987,-0.003999310782091925,0.012817843,890,0.054638671875,0.09228813648223877,0.012991649238392711,0.2,0.0003
186368,0.8560199999999999,411,452,8.82,91,0.00863980408757925,-0.29282037843950093,-0.004483576717757387,0.0054208837,900,0.050634765625,0.10204249620437622,0.009364725367777282,0.2,0.0003
188416,0.8845699999999997,416,452,7.56,92,-0.012854665517807007,-0.2960459552705288,-0.0020312494641984815,0.0050224615,910,0.03857421875,0.060025811195373535,0.019178727120379335,0.2,0.0003
190464,0.9261999999999999,421,451,8.2,93,0.010588331148028374,-0.27869626102037726,-0.0031830619311222106,0.005494936,920,0.0390625,0.0846206545829773,0.01697874293968198,0.2,0.0003
192512,0.8841199999999999,426,451,7.71,94,-0.004121785517781973,-0.26807009051553904,-0.0039054692184436134,0.01178474,930,0.043115234375,0.12537485361099243,0.008014716676916578,0.2,0.0003
194560,0.90142,430,451,7.82,95,-0.015691114589571953,-0.2314689232967794,-0.004358429630519823,0.0045251036,940,0.037353515625,0.10784494876861572,0.014017493065693998,0.2,0.0003
196608,0.9043899999999999,435,451,7.41,96,-0.015361401252448559,-0.16746403311844915,-0.005814849732996663,0.0042060185,950,0.03916015625,0.0838502049446106,0.00884626832084905,0.2,0.0003
198656,0.9087199999999998,439,451,8.04,97,-0.005256198346614838,-0.17030751437414438,-0.0034887285364675336,0.0021662824,960,0.020947265625,0.09901845455169678,0.013774725955954636,0.2,0.0003
200704,0.90782,444,451,8.15,98,0.006293554790318012,-0.16432312505785376,-0.001856304104148876,0.008836601,970,0.020263671875,0.10152256488800049,0.009545419280038913,0.2,0.0003
