time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/loss
5058,195.81,2506752,51,495,0.0,-0.008231156773823993,3.7004410208263394e-07,0.2,0.11817626953125,0.01166815,-3.752244472503662,500,0.0003,-1.4424025179818272,-0.0020787392277270555
5057,198.36,2555904,52,505,0.0,-0.007999392009757382,2.542018142574302e-07,0.2,0.13744913736979167,0.018567005,-3.4860239028930664,510,0.0003,-1.4387373085444173,-0.015003562904894352
5056,197.31,2605056,53,515,0.0,-0.008170756373147015,2.8899940650214027e-07,0.2,0.11431681315104167,0.011723712,-4.19906759262085,520,0.0003,-1.4176825100556016,-0.013125123456120491
5055,197.71,2654208,54,525,0.0,-0.008838909270101189,4.357974903464642e-07,0.2,0.14689534505208332,0.016954685,-1.525683879852295,530,0.0003,-1.4245007768273354,-0.009548217989504337
5055,197.95,2703360,55,534,0.0,-0.01051370305058299,3.0034807906309525e-07,0.2,0.14155069986979166,0.02415134,-0.5611318349838257,540,0.0003,-1.3961424487953384,-0.022817084565758705
5055,198.42,2752512,56,544,0.0,-0.009235100684766925,3.0867645071467703e-07,0.2,0.106365966796875,0.016372198,-2.1351702213287354,550,0.0003,-1.3957399735227227,-0.014348047785460949
5055,198.46,2801664,57,554,0.0,-0.010732404379299017,3.182843810252874e-07,0.2,0.127728271484375,0.015230532,-1.7239899635314941,560,0.0003,-1.37595053507636,-0.02222476340830326
5055,195.62,2850816,58,563,0.0,-0.007956995479131972,1.8625142385967723e-07,0.2,0.11950276692708334,0.016295535,-2.7069761753082275,570,0.0003,-1.381775990811487,-0.020369432866573334
5055,197.92,2899968,59,573,0.0,-0.006721529330085711,1.87693403589743e-07,0.2,0.13612263997395832,0.016147032,-0.6095513105392456,580,0.0003,-1.3699410314982137,-0.027595479041337967
5053,200.0,2949120,60,583,0.0,-0.008277871418370827,1.3363998276153904e-07,0.2,0.12016194661458333,0.013482037,-2.4671010971069336,590,0.0003,-1.3556221769501766,-0.018654437735676765
5052,198.18,2998272,61,593,0.0,-0.009554287708488119,6.394675576652335e-08,0.2,0.11918131510416667,0.016939463,-2.5271358489990234,600,0.0003,-1.3514574601625402,0.00632837601006031
5051,197.94,3047424,62,603,0.0,-0.010302660320849099,5.7063246420666994e-08,0.2,0.1640625,0.02186391,-2.3119332790374756,610,0.0003,-1.3840524868418773,-0.004021232482045889
5051,195.21,3096576,63,613,0.0,-0.012007721174935189,3.6287699041922156e-08,0.2,0.13427530924479167,0.015043464,-1.899362564086914,620,0.0003,-1.396135343487064,0.00955538172274828
5050,198.19,3145728,64,622,0.0,-0.011651204344404201,2.6320421360933228e-08,0.2,0.15805460611979166,0.039534684,-1.0375728607177734,630,0.0003,-1.3612330564608177,-0.03789909929037094
5050,195.86,3194880,65,632,0.0,-0.009599746928324748,1.4930580798331688e-08,0.2,0.13083292643229166,0.01664757,-0.9028366804122925,640,0.0003,-1.3568431129058203,-0.022428466007113457
5050,200.0,3244032,66,642,0.0,-0.009788861536920497,6.24739439162673e-09,0.2,0.11810709635416666,0.015044775,-0.3019067049026489,650,0.0003,-1.2941592405860622,-0.020353544503450394
5049,198.34,3293184,67,652,0.0,-0.00977010684725125,6.797843913701011e-09,0.2,0.11803181966145833,0.016777316,-1.4831225872039795,660,0.0003,-1.2534276362508536,-0.0029381734784692526
5048,194.25,3342336,68,661,0.0,-0.010800672319783189,4.130769187555422e-09,0.2,0.14203287760416666,0.014319294,-0.25530946254730225,670,0.0003,-1.2659507152313987,-0.01366745587438345
5048,200.0,3391488,69,671,0.0,-0.009395600961215677,3.2614077005027607e-09,0.2,0.11644287109375,0.014544661,0.3262801170349121,680,0.0003,-1.2134623182316622,-0.019700106233358383
