time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
135168,66,458,0.0,294,217.81,0.607168436050415,3.409337401283352e-06,-0.009325645265926141,0.112109375,0.0003,-0.7730700664222241,0.2,650,0.008856613,-0.020132455974817276
137216,67,458,0.0,299,214.63,-0.989203929901123,5.695396434646227e-06,-0.006471082677308004,0.06416015625,0.0003,-0.8188002683222294,0.2,660,0.010383863,-0.027250472456216812
139264,68,458,0.0,303,209.53,0.5743955373764038,3.009218900036359e-05,-0.005001997239014599,0.09453125,0.0003,-0.9014424461871385,0.2,670,0.030495314,0.015794584527611732
141312,69,458,0.0,308,199.33,-1.0771138668060303,9.325414570493517e-07,-0.007284120080294087,0.057470703125,0.0003,-0.9705767955631017,0.2,680,0.0055840416,-0.013420448638498783
143360,70,457,0.0,313,200.15,-3.999180316925049,6.851002164331988e-06,-0.004579608352651121,0.15966796875,0.0003,-1.0492926578968764,0.2,690,0.0072216885,-0.0187105443328619
145408,71,458,0.0,317,204.22,0.6102195978164673,1.5966051505833524e-06,-0.007407159281137865,0.101904296875,0.0003,-1.0694141615182162,0.2,700,0.008150112,-0.008525875397026539
147456,72,458,0.0,321,207.02,0.040123164653778076,9.493150756267887e-06,-0.007587740414601285,0.075537109375,0.0003,-1.0452428705990315,0.2,710,0.0072945673,-0.014671120792627335
149504,73,458,0.0,326,207.19,-29.78754234313965,7.045357958582188e-06,-0.0009080479707336053,0.099072265625,0.0003,-1.0164473855867981,0.2,720,0.01154099,0.0024492915254086256
151552,74,458,0.0,330,207.19,-3.0655465126037598,1.9142293821272636e-06,-0.007497089569369564,0.2302734375,0.0003,-1.082625476643443,0.2,730,0.04376334,0.020951641723513603
153600,75,457,0.0,335,200.38,-0.7365924119949341,1.4103866963416368e-05,-0.005992461991991149,0.1365234375,0.0003,-1.0910690791904927,0.2,740,0.04075781,0.01602018252015114
155648,76,458,0.0,339,198.85,0.21084731817245483,1.5120862500994647e-06,-0.005349812436907087,0.255322265625,0.0003,-1.100996494665742,0.2,750,0.016486749,-0.005743258632719517
157696,77,458,0.0,343,198.43,-1.1577739715576172,1.3765713164470839e-05,-0.005851857374364044,0.039111328125,0.0003,-1.1394133096560837,0.2,760,0.009136385,-0.01155947707593441
159744,78,458,0.0,348,203.53,-0.0752946138381958,9.292993322418397e-06,-0.009882382678915747,0.072509765625,0.0003,-1.0699325606226922,0.2,770,0.010893855,-0.02271736040711403
161792,79,458,0.0,352,211.18,-0.07367813587188721,9.034573612893837e-05,-0.004186532733365311,0.104931640625,0.0003,-1.0916843380779029,0.2,780,0.008896645,-0.02983098290860653
163840,80,458,0.0,357,215.31,0.10856300592422485,7.628347136545699e-06,-0.010613725889561465,0.11494140625,0.0003,-1.165097950771451,0.2,790,0.052400406,0.004929753951728344
