time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,shield/transition_timestep,shield/ignore_prob,shield/stage
4004,2015232,0.7027656435966492,41,17.4,503,400,-0.0011829598641876751,0.2,0.005717773,0.0003,-0.7804896460846067,0.016909715240763033,0.0021841833367943764,0.29617130756378174,0.04184366861979167,2000016,0.4,1
4000,2064384,0.7769296169281006,42,18.9,516,410,-0.0014939495546059333,0.2,0.0052640573,0.0003,-0.7731720411529144,0.015134836337529123,0.003220783080905676,0.30285483598709106,0.042738850911458334,,,
3998,2113536,0.7412891387939453,43,17.8,528,420,-0.0013005251268623397,0.2,0.0065743863,0.0003,-0.7779949889518321,0.017203268287024304,0.002470209263265133,0.27770906686782837,0.0369384765625,,,
3996,2162688,0.768054723739624,44,18.22,541,430,-0.0009736248222907307,0.2,0.01113641,0.0003,-0.7816129778822263,0.016959089199614634,0.014611929655075073,0.28440362215042114,0.03974202473958333,,,
3994,2211840,0.7579140663146973,45,18.45,553,440,-0.001217773516267092,0.2,0.0047206045,0.0003,-0.7912204401878019,0.015961255080522582,0.010406834073364735,0.2937256693840027,0.04033203125,,,
3992,2260992,0.7792500257492065,46,18.13,566,450,-0.0011292324323221691,0.2,0.0059259604,0.0003,-0.7835737570809821,0.016429049321838345,0.0039612967520952225,0.28514939546585083,0.042185465494791664,,,
3992,2310144,0.7587930560112,47,17.84,578,460,-0.0017207721480493395,0.2,0.005797807,0.0003,-0.764266206137836,0.01571189765090821,0.00540313683450222,0.2826060652732849,0.041595458984375,,,
3992,2359296,0.6883555054664612,48,15.79,590,470,-0.0015300379995702921,0.2,0.0057991,0.0003,-0.7518571819799642,0.015390789836480205,0.01907280460000038,0.3039858341217041,0.04049072265625,,,
3993,2408448,0.808582067489624,49,17.96,603,480,-0.001790264897893697,0.2,0.0055674873,0.0003,-0.7422309226666888,0.017203270714283767,0.008607346564531326,0.28604185581207275,0.040968831380208334,,,
3993,2457600,0.7451913952827454,50,16.2,615,490,-0.001420363548155971,0.2,0.005725158,0.0003,-0.725943790593495,0.014748489241659021,0.004316461738198996,0.3032139539718628,0.04713134765625,,,
3993,2506752,0.7704452276229858,51,17.74,627,500,-0.0011542253512743627,0.2,0.005406938,0.0003,-0.7138309385006626,0.01785538346860752,0.012267407961189747,0.27794957160949707,0.04396769205729167,,,
3994,2555904,0.7907968163490295,52,17.36,639,510,-0.0010082355727111766,0.2,0.004889783,0.0003,-0.7165321617387235,0.016165689297728627,0.009093008935451508,0.28385722637176514,0.03683878580729167,,,
3994,2605056,0.7170546650886536,53,15.67,652,520,-0.0010361364986238187,0.2,0.00552544,0.0003,-0.7035143323553105,0.0162300603146529,0.001253811176866293,0.2774817943572998,0.03431396484375,,,
3994,2654208,0.7861562371253967,54,18.91,664,530,-0.0010008132666068073,0.2,0.0056401826,0.0003,-0.7040702501622339,0.017211320883022078,0.013555284589529037,0.27528226375579834,0.03890584309895833,,,
3995,2703360,0.7914648652076721,55,17.17,676,540,-0.00150045659471895,0.2,0.0063277488,0.0003,-0.7128459485868613,0.018251565713823463,0.003513108938932419,0.2621394395828247,0.043745930989583334,,,
3995,2752512,0.7132576704025269,56,17.62,688,550,-0.0014042277750680417,0.2,0.005379082,0.0003,-0.7129375996999443,0.01620650544864475,-0.0037159104831516743,0.2897180914878845,0.04468587239583333,,,
3995,2801664,0.7315351963043213,57,17.69,701,560,-0.0011883500863708225,0.2,0.00460965,0.0003,-0.7248502615528802,0.01792811372021485,0.015045824460685253,0.2838507294654846,0.04052327473958333,,,
3996,2850816,0.7570703029632568,58,18.53,713,570,-0.0011920076023670845,0.2,0.0049413443,0.0003,-0.7270798221540947,0.016648092701749797,0.004312262870371342,0.282473623752594,0.03701171875,,,
3996,2899968,0.7415351271629333,59,17.82,725,580,-0.001180500188517423,0.2,0.0040465575,0.0003,-0.7180547885596752,0.017995776675040057,0.012947035022079945,0.2695372700691223,0.037461344401041666,,,
3996,2949120,0.7495664358139038,60,18.06,737,590,-0.001392789004300236,0.2,0.0045760632,0.0003,-0.700894450986137,0.01573238402027831,0.005587602034211159,0.2839900255203247,0.037795003255208334,,,
3996,2998272,0.7975976467132568,61,18.62,750,600,-0.0012307340797633516,0.2,0.0038795944,0.0003,-0.6942430511116982,0.017500336336767456,0.012291270308196545,0.27913910150527954,0.03552652994791667,,,
