time/fps,time/total_timesteps,time/iterations,shield/stage,rollout/ep_rew_mean,shield/transition_timestep,time/time_elapsed,shield/delta,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss
3904,2703360,55,,0.7185832858085632,,692,,39.2,0.012888611059558268,0.0021538062,0.008459055796265602,0.018326822916666666,540,0.2,0.4910625219345093,-0.0014031818732595032,0.0003,-0.1704667458931605
3904,2752512,56,,0.7992777824401855,,704,,40.9,0.013265997182558446,0.0021004116,0.0066590383648872375,0.019514973958333334,550,0.2,0.4922119975090027,-0.0014894790363238523,0.0003,-0.17107881476016093
3905,2801664,57,,0.7565000057220459,,717,,38.77,0.013103675239350802,0.001837248,0.003700411878526211,0.019106038411458335,560,0.2,0.49681681394577026,-0.0013760968308209462,0.0003,-0.16324550995680814
3905,2850816,58,,0.7679723501205444,,729,,39.4,0.012871836173871998,0.0015295561,0.0029670321382582188,0.017279052734375,570,0.2,0.49517494440078735,-0.0012251290156806741,0.0003,-0.1575063162793716
3904,2899968,59,,0.7410833239555359,,742,,39.23,0.012854014167533023,0.00220456,0.0015015853568911552,0.015486653645833333,580,0.2,0.49320030212402344,-0.0014156670677039074,0.0003,-0.1556312167434953
3903,2949120,60,,0.7487499117851257,,755,,38.58,0.01410229189665794,0.0023395421,0.0081309350207448,0.01815185546875,590,0.2,0.49068397283554077,-0.0017246070636853497,0.0003,-0.16242694198153912
3904,2998272,61,,0.7455555200576782,,767,,40.45,0.012977036317170131,0.0020699366,0.0024963165633380413,0.020399983723958334,600,0.2,0.5035818815231323,-0.0016088973752630409,0.0003,-0.1643408432486467
3891,3047424,62,,0.7186944484710693,,783,,35.73,0.012964081526782441,0.0023424416,0.007459994871169329,0.019191487630208334,610,0.2,0.5093315243721008,-0.001595775515428007,0.0003,-0.15284096476001044
3892,3096576,63,,0.7835556268692017,,795,,40.39,0.012422006346848017,0.002160637,0.002249749843031168,0.018198649088541668,620,0.2,0.5049381256103516,-0.0016718432888107296,0.0003,-0.1496886651807775
3892,3145728,64,,0.7629444599151611,,808,,37.23,0.01249526404644712,0.004648942,0.00827066507190466,0.019051106770833333,630,0.2,0.49847328662872314,-0.0014171053730024142,0.0003,-0.14977349350616956
3893,3194880,65,,0.8095277547836304,,820,,37.48,0.011996455426803247,0.0034436367,-0.00011006463319063187,0.017997233072916667,640,0.2,0.5024573802947998,-0.0017591168315751323,0.0003,-0.1505613638747794
3894,3244032,66,,0.7793332934379578,,832,,41.29,0.011589276806383471,0.0021027941,0.004088446497917175,0.020416259765625,650,0.2,0.502560019493103,-0.0015287769709781665,0.0003,-0.1615783642977476
3895,3293184,67,,0.730305552482605,,845,,39.25,0.012481588485388783,0.0030836584,-0.0014438843354582787,0.021443684895833332,660,0.2,0.4969767928123474,-0.0016569399427680763,0.0003,-0.16379739837332938
3895,3342336,68,,0.7221666574478149,,857,,38.97,0.01223477092644316,0.002580711,0.005722840782254934,0.021205647786458334,670,0.2,0.4947788119316101,-0.0014550004761379872,0.0003,-0.1718184311602575
3896,3391488,69,,0.7304722666740417,,870,,38.21,0.012670945550780743,0.0023520642,-0.004807648248970509,0.01953125,680,0.2,0.5026836395263672,-0.0015032150313951812,0.0003,-0.1680338236852549
3897,3440640,70,,0.7448055148124695,,882,,39.72,0.012413454981530474,0.0047551026,0.004064806271344423,0.020025634765625,690,0.2,0.5117610096931458,-0.001658216850349466,0.0003,-0.16604093783147011
3897,3489792,71,,0.7522222995758057,,895,,41.92,0.013440537792242442,0.0035995326,0.00481740478426218,0.020054117838541666,700,0.2,0.505120575428009,-0.0018729357058267246,0.0003,-0.16727663262669618
3898,3538944,72,,0.7706111073493958,,907,,41.58,0.01357536794845752,0.002134662,0.0078700240701437,0.018467203776041666,710,0.2,0.5010814070701599,-0.001347394742515462,0.0003,-0.17276665957178922
3899,3588096,73,,0.7440555691719055,,920,,37.84,0.012906408153260903,0.0059965015,0.004198759328573942,0.01983642578125,720,0.2,0.49810338020324707,-0.0016177239068080477,0.0003,-0.17257896766144162
3900,3637248,74,,0.7450833320617676,,932,,40.62,0.012765643870079658,0.002064673,0.005668794736266136,0.021055094401041665,730,0.2,0.49927818775177,-0.0016680636287674134,0.0003,-0.17868675619829447
3901,3686400,75,,0.7402222156524658,,944,,38.41,0.012894668569303273,0.0027823653,0.0011293385177850723,0.021761067708333335,740,0.2,0.48279160261154175,-0.0016039393559973785,0.0003,-0.1851181201559181
3901,3735552,76,,0.7498890161514282,,957,,39.51,0.012917090097956437,0.00230923,0.005257054232060909,0.019659423828125,750,0.2,0.48897671699523926,-0.0016029267418161907,0.0003,-0.18375561668071896
3904,3784704,77,5,0.7956944108009338,3774096,969,0.0,42.8,0.012420248408549621,0.004362779,0.014715082943439484,0.021018473307291667,760,0.2,0.49729031324386597,-0.0017619869647508798,0.0003,-0.17888647821576645
3915,3833856,78,,0.7490000128746033,,979,,38.04,0.011914139782068863,0.0025067695,0.005486066918820143,0.020853678385416668,770,0.2,0.503131628036499,-0.0018532800399043482,0.0003,-0.1807656391368558
3925,3883008,79,,0.7270277142524719,,989,,35.51,0.01307435386600749,0.0018049935,0.0007182266563177109,0.020269775390625,780,0.2,0.4941619038581848,-0.0014384820981528416,0.0003,-0.18777174027636648
3935,3932160,80,,0.7610000371932983,,999,,37.22,0.012620996667586344,0.002463253,0.0053306822665035725,0.0204833984375,790,0.2,0.5163207054138184,-0.0016148250665840654,0.0003,-0.17429322115300844
3944,3981312,81,,0.6909166574478149,,1009,,35.14,0.01169528006115191,0.0033478292,0.0063590602949261665,0.020733642578125,800,0.2,0.5062937140464783,-0.0020882869159019415,0.0003,-0.16857828963935997
3943,4030464,82,,0.7924444079399109,,1022,,39.59,0.012624805821784928,0.0021082733,0.0021285340189933777,0.0201171875,810,0.2,0.5066492557525635,-0.0017023062689986545,0.0003,-0.17382834652283538
3953,4079616,83,,0.7715833783149719,,1032,,40.73,0.011712202180933672,0.0023889702,-0.0014431471936404705,0.020505777994791665,820,0.2,0.49930375814437866,-0.0017089426809131206,0.0003,-0.1804458552583431
3962,4128768,84,,0.7326943874359131,,1042,,40.81,0.013020029857580084,0.005385189,-0.000507221557199955,0.025994873046875,830,0.2,0.49739569425582886,-0.0018417656950380963,0.0003,-0.18954314508785805
3970,4177920,85,,0.7351943850517273,,1052,,40.11,0.011892440550824782,0.0034107466,0.0007306854240596294,0.024924723307291667,840,0.2,0.5005391240119934,-0.0023071277376099414,0.0003,-0.186095332284458
3978,4227072,86,,0.7236111164093018,,1062,,40.66,0.011715270832792158,0.0071564675,0.007536632474511862,0.023260498046875,850,0.2,0.5108597278594971,-0.0019834360681973825,0.0003,-0.18143513796385377
3987,4276224,87,,0.7115277647972107,,1072,,38.02,0.012271820179254671,0.0041359197,0.0073061175644397736,0.022574869791666667,860,0.2,0.5091320276260376,-0.001986747511000431,0.0003,-0.18392036765192946
3996,4325376,88,,0.7932778000831604,,1082,,39.97,0.01226213001476329,0.0019014431,0.0037518292665481567,0.020076497395833334,870,0.2,0.5079061985015869,-0.00173620769722523,0.0003,-0.18842510284545522
4004,4374528,89,,0.7833333611488342,,1092,,36.48,0.011721373700614398,0.003148663,0.007457265164703131,0.017936197916666667,880,0.2,0.4939708113670349,-0.0018513477806360848,0.0003,-0.17599806108822424
4013,4423680,90,,0.7382777333259583,,1102,,39.76,0.012634622699746008,0.0024755094,0.0014910311438143253,0.021614583333333333,890,0.2,0.5101869702339172,-0.0020677579747522636,0.0003,-0.18691986853567263
4021,4472832,91,,0.6281111240386963,,1112,,34.06,0.01240491093218831,0.0017850882,0.000796453095972538,0.016392008463541666,900,0.2,0.5145694017410278,-0.0013966450069043883,0.0003,-0.18136653294786811
4028,4521984,92,,0.7362499237060547,,1122,,36.0,0.012475502662709914,0.0023549523,0.006581555586308241,0.021537272135416667,910,0.2,0.5109524130821228,-0.002173279218065242,0.0003,-0.1821550067824622
4036,4571136,93,,0.7642776966094971,,1132,,37.04,0.012547039872879395,0.0026718897,0.0035803867504000664,0.018009440104166666,920,0.2,0.5037635564804077,-0.0015881412963305289,0.0003,-0.17928111342868458
4044,4620288,94,,0.7599721550941467,,1142,,41.36,0.011992188025275633,0.0028090656,0.016360901296138763,0.023018391927083333,930,0.2,0.5058528184890747,-0.0019790514855534034,0.0003,-0.1923228592534239
4051,4669440,95,,0.7666388750076294,,1152,,39.48,0.013041368366975803,0.002146897,0.004894251935184002,0.022495524088541666,940,0.2,0.4824249744415283,-0.0021734688210926834,0.0003,-0.19048258592374623
4058,4718592,96,,0.7219722270965576,,1162,,37.21,0.012193775643633368,0.0027027216,0.0032810899429023266,0.023909505208333334,950,0.2,0.48864680528640747,-0.0020967244963685516,0.0003,-0.19629089236259462
4066,4767744,97,,0.7689166069030762,,1172,,38.0,0.011158622636382157,0.002567469,0.014483945444226265,0.020798746744791666,960,0.2,0.5120750665664673,-0.0016453075420940877,0.0003,-0.19282093740378817
4073,4816896,98,,0.741944432258606,,1182,,38.18,0.011504503438967124,0.0018480722,0.002522733062505722,0.018351236979166668,970,0.2,0.5027379393577576,-0.0015598801362709006,0.0003,-0.17990256710133204
4080,4866048,99,,0.7388611435890198,,1192,,38.92,0.01237603260257553,0.0023738886,-0.0007595610804855824,0.020491536458333334,980,0.2,0.4988980293273926,-0.0021089944853883934,0.0003,-0.17733395921920117
4087,4915200,100,,0.7300277948379517,,1202,,38.79,0.011752456538185166,0.0019260459,0.006806597113609314,0.01943359375,990,0.2,0.5066215991973877,-0.0021688894983526554,0.0003,-0.17076579357575003
4094,4964352,101,,0.804416835308075,,1212,,42.63,0.012679957757063676,0.0043348647,0.0025440561585128307,0.020709228515625,1000,0.2,0.49526506662368774,-0.002317469301518334,0.0003,-0.1729697010285842
4091,5013504,102,,0.7955832481384277,,1225,,42.24,0.013164500481555782,0.002380532,0.0035041552037000656,0.02059326171875,1010,0.2,0.4907076954841614,-0.0018208022457959791,0.0003,-0.18741527279683698
