time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,shield/actions_allowed,shield/actions_block_ignored,shield/actions_blocked,rollout/ep_rew_mean,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/approx_kl,shield/stage,shield/delta,shield/transition_timestep
678,2654208,54,3910,46.4,1828993,0,568882,0.7944722771644592,-0.321319308783859,-0.002361814560026687,0.0003,0.03979085286458333,0.013151303433793752,0.5076881647109985,530,0.2,-0.0038860272616147995,0.0036780557,,,
691,2703360,55,3910,43.22,1874902,0,571410,0.7664167284965515,-0.3027905296379079,-0.0021576148452368215,0.0003,0.03665974934895833,0.012567481853087278,0.5226664543151855,540,0.2,0.007554291747510433,0.0031840655,,,
703,2752512,56,3909,45.15,1920687,0,573933,0.7023611664772034,-0.2840031808940694,-0.002187778573261312,0.0003,0.03575846354166667,0.01273452939033935,0.5059999227523804,550,0.2,0.0021870690397918224,0.003314636,,,
716,2801664,57,3909,40.86,1966434,0,576488,0.7449166774749756,-0.2858246772705267,-0.0018657902597018013,0.0003,0.033681233723958336,0.012569495757391753,0.4960249662399292,560,0.2,0.008375158533453941,0.0034760216,,,
729,2850816,58,3909,41.41,2012415,0,578869,0.7099722027778625,-0.28078962258684137,-0.002026845643437506,0.0003,0.036199951171875,0.012443677911990865,0.48566311597824097,570,0.2,0.000348726287484169,0.0040820427,,,
741,2899968,59,3909,42.51,2058796,0,580942,0.7378889322280884,-0.2647905702081819,-0.0015213473770321192,0.0003,0.030000813802083335,0.011393717218015808,0.5247117877006531,580,0.2,0.0028020753525197506,0.0023969242,,,
754,2949120,60,3907,40.16,2105025,0,583268,0.7531388998031616,-0.237212225003168,-0.0018440202204753101,0.0003,0.0316162109375,0.011615362308657496,0.5258960723876953,590,0.2,-0.0015923460014164448,0.0026500244,,,
767,2998272,61,3907,44.66,2151150,0,585565,0.7233055233955383,-0.24011089988828946,-0.001731933323693132,0.0003,0.03210042317708333,0.012406916864953625,0.5108006000518799,600,0.2,0.006086407694965601,0.004786482,,,
780,3047424,62,3906,58.07,2199045,0,585658,0.6495277285575867,-0.2358385766390711,-0.0017679454456811072,0.0003,0.03320109049479167,0.01253233538227505,0.49854761362075806,610,0.2,0.0018125222995877266,0.004263782,2,0.25,3000000
792,3096576,63,3906,54.42,2246786,0,585658,0.653749942779541,-0.34917955698135,-0.006981500375210696,0.0003,0.08646443684895834,0.014007902073596293,0.25772660970687866,620,0.2,-0.00019707484170794487,0.02653568,,,
805,3145728,64,3906,46.52,2294675,0,585658,0.6540000438690186,-0.35616735404667754,-0.004360932238311458,0.0003,0.05356648763020833,0.014663903439456286,0.3070918321609497,630,0.2,0.0033754101023077965,0.0056550973,,,
817,3194880,65,3907,48.74,2342832,0,585658,0.6476110816001892,-0.3243783372143904,-0.005352031103393528,0.0003,0.058935546875,0.014358068520474868,0.35217899084091187,640,0.2,-0.008126050233840942,0.004752042,,,
830,3244032,66,3906,50.53,2391047,0,585658,0.6837500929832458,-0.310592535076042,-0.00526824903281522,0.0003,0.059647623697916666,0.012661298405146227,0.41857463121414185,650,0.2,0.009172461926937103,0.005655896,,,
843,3293184,67,3905,44.6,2439309,0,585658,0.7213055491447449,-0.29141248972931255,-0.004316907603182093,0.0003,0.05393269856770833,0.01339399534529851,0.4587078094482422,660,0.2,-0.004838318098336458,0.0053948755,,,
855,3342336,68,3905,48.58,2487654,0,585658,0.7080278992652893,-0.258453652379103,-0.003369466668846144,0.0003,0.043314615885416664,0.012290715873920515,0.4907881021499634,670,0.2,0.0037910500541329384,0.0039754664,,,
868,3391488,69,3904,47.51,2536137,0,585658,0.7517222762107849,-0.24099979428574442,-0.0028450055303134527,0.0003,0.039052327473958336,0.011838984824620032,0.4998297095298767,680,0.2,0.0018582791090011597,0.002966078,,,
