time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,shield/ignore_prob,shield/transition_timestep,shield/stage
2605056,4301,605,53,0.8840000629425049,26.95,-0.0009947564685717225,-0.18036828957653295,0.013092041015625,0.5819965600967407,-0.0007382756136697329,0.2,0.0003,0.002394704127254954,520,0.0011977236,,,
2654208,4298,617,54,0.8819642663002014,27.49,0.0015345275169238448,-0.1904462891087557,0.014473470052083333,0.5335900783538818,-0.0009983095112450731,0.2,0.0003,0.003020195636478699,530,0.0016743789,,,
2703360,4295,629,55,0.8943571448326111,26.82,-0.00013026798842474818,-0.19206179127407572,0.016475423177083334,0.5562466382980347,-0.0011792288395251185,0.2,0.0003,0.002702899986919268,540,0.0028755248,,,
2752512,4293,641,56,0.8602142930030823,28.1,-0.0006665901746600866,-0.20020856224776556,0.019272867838541666,0.5512073040008545,-0.0016059755292189947,0.2,0.0003,0.0026014252126818366,550,0.0017445837,,,
2801664,4292,652,57,0.8708929419517517,25.39,0.003987363539636135,-0.18704256579124678,0.021148681640625,0.49687689542770386,-0.0021389063555640555,0.2,0.0003,0.003508179878008377,560,0.04204059,,,
2850816,4291,664,58,0.8903213739395142,27.97,-0.0004873092984780669,-0.1870560843963176,0.018526204427083335,0.5473647117614746,-0.0011606100099622078,0.2,0.0003,0.002854381318381153,570,0.0019223014,,,
2899968,4291,675,59,0.8912857174873352,27.67,0.0026152811478823423,-0.18678251663222908,0.017012532552083334,0.5295978784561157,-0.0013510860970806485,0.2,0.0003,0.0030463499462712205,580,0.0043577715,,,
2949120,4290,687,60,0.8930713534355164,27.17,0.005663352087140083,-0.1794754458203291,0.016591389973958332,0.5229552984237671,-0.0011440458436785168,0.2,0.0003,0.003120509809499102,590,0.0057178345,,,
2998272,4289,698,61,0.8895715475082397,28.14,-0.0007413029670715332,-0.17725635773967952,0.012709554036458333,0.5799956321716309,-0.0007020739174549817,0.2,0.0003,0.0024014785524438293,600,0.0012521611,,,
3047424,4273,713,62,0.872249960899353,27.45,-0.0006711253081448376,-0.1638333957719927,0.01761474609375,0.5471387505531311,-0.001283973570176992,0.2,0.0003,0.002829608529888598,610,0.0019826777,,,
3096576,4271,724,63,0.8682856559753418,25.93,0.0011694448767229915,-0.16162489746930078,0.0133544921875,0.5276598930358887,-0.0009222603110780862,0.2,0.0003,0.002956956876732875,620,0.0019741396,,,
3145728,4269,736,64,0.873999834060669,29.75,-0.002155591966584325,-0.1832719246818063,0.016713460286458332,0.5349938869476318,-0.0010639034612116424,0.2,0.0003,0.0028736604593480783,630,0.0028794724,,,
3194880,4267,748,65,0.8892858028411865,28.25,-0.01135165523737669,-0.22836256579806408,0.040008544921875,0.5310888290405273,-0.003920562010171125,0.2,0.0003,0.002836203961002563,640,0.011388135,,,
3244032,4264,760,66,0.8818215131759644,27.76,-0.002322170650586486,-0.21637048283591867,0.030434163411458333,0.5172555446624756,-0.0019036022027042539,0.2,0.0003,0.003281533595024181,650,0.003837236,,,
3293184,4263,772,67,0.8838571906089783,26.96,-0.00036714912857860327,-0.19592507159492623,0.021034749348958333,0.5604190826416016,-0.002044574889744884,0.2,0.0003,0.0029764948287872056,660,0.0022372827,,,
3342336,4261,784,68,0.8895714282989502,28.14,0.0029652868397533894,-0.18631746038639296,0.018892415364583335,0.5726213455200195,-0.0012969119364242942,0.2,0.0003,0.0027102534543397877,670,0.0021203258,,,
3391488,4261,795,69,0.8865713477134705,26.24,-0.001982363872230053,-0.178695929205666,0.019045003255208335,0.5926632881164551,-0.001648156588225902,0.2,0.0003,0.002460778976516546,680,0.019421285,,,
3440640,4261,807,70,0.9004642367362976,27.87,0.0009470070945098996,-0.17517388921696692,0.017972819010416665,0.5129764080047607,-0.0015935264123375721,0.2,0.0003,0.003310464994077241,690,0.0020847695,,,
3489792,4262,818,71,0.8975713849067688,28.68,0.0022702778223901987,-0.1712019115841637,0.01585693359375,0.540569543838501,-0.0014710552517802475,0.2,0.0003,0.0028338027209732293,700,0.0038750328,,,
3538944,4262,830,72,0.8887856006622314,28.41,0.0042950063943862915,-0.22198504431483645,0.0390869140625,0.5127866268157959,-0.0028132701989306954,0.2,0.0003,0.003280241992373097,710,0.0055416897,,,
3588096,4262,841,73,0.8960356712341309,26.33,-8.15094681456685e-05,-0.20528908306732774,0.023594156901041666,0.574551522731781,-0.0019979929479935284,0.2,0.0003,0.0026512513567164813,720,0.0019906168,,,
3637248,4261,853,74,0.8520715236663818,27.74,-0.0010839933529496193,-0.20908555465284734,0.030253092447916668,0.5429782867431641,-0.002207281031405728,0.2,0.0003,0.0030300433614077822,730,0.003232111,,,
3686400,4259,865,75,0.8938213586807251,26.99,-0.004317822866141796,-0.197916991985403,0.027006022135416665,0.5355241298675537,-0.0026447687283204383,0.2,0.0003,0.003082002960400132,740,0.0026453761,,,
3735552,4258,877,76,0.8923215270042419,27.39,-0.0015831701457500458,-0.1765849452543383,0.021451822916666665,0.579137921333313,-0.001772811786395323,0.2,0.0003,0.0025628242884219313,750,0.0025743162,,,
3784704,4256,889,77,0.8924285769462585,27.34,-0.0030259110499173403,-0.16575627934653311,0.02130126953125,0.584204912185669,-0.001834330208597142,0.2,0.0003,0.002502837647140647,760,0.0024399345,,,
3833856,4255,900,78,0.8927500247955322,27.26,0.00013869802933186293,-0.17030588570050895,0.019618733723958334,0.5674489736557007,-0.0014425981131959513,0.2,0.0003,0.0026911079294222873,770,0.004284623,,,
3883008,4255,912,79,0.8942500352859497,27.14,0.0003777557867579162,-0.1705308673903346,0.024143473307291666,0.5806113481521606,-0.002055643652177726,0.2,0.0003,0.0026573428780466203,780,0.0024075448,,,
3932160,4254,924,80,0.8996427655220032,28.1,0.0008338766638189554,-0.16945177338008457,0.021390787760416665,0.5261825323104858,-0.0022005372445467702,0.2,0.0003,0.0030329066732520003,790,0.0029959606,,,
3981312,4253,936,81,0.8666785359382629,26.24,-0.005817323923110962,-0.16216573742761586,0.017340087890625,0.5679008960723877,-0.001430954216812097,0.2,0.0003,0.002656665738747203,800,0.00625769,,,
4030464,4242,950,82,0.8942500352859497,26.83,-0.0013633843045681715,-0.15327091246532898,0.012845865885416667,0.5898411870002747,-0.0010716066885834152,0.2,0.0003,0.0024888456086652393,810,0.0030706127,,,
4079616,4242,961,83,0.8994285464286804,28.16,0.0017545113805681467,-0.14715641871637974,0.014784749348958333,0.5480632781982422,-0.0009652439521839067,0.2,0.0003,0.0028758399221866663,820,0.002598649,,,
4128768,4240,973,84,0.8922500610351562,27.39,0.00429544597864151,-0.14418319606920704,0.016939290364583335,0.5674467086791992,-0.0011080318904835925,0.2,0.0003,0.00262991798723912,830,0.0020600713,,,
4177920,4239,985,85,0.8844285607337952,26.8,-0.0050300550647079945,-0.1447726036926421,0.015122477213541667,0.574001133441925,-0.0008495031923909361,0.2,0.0003,0.0026073973426415857,840,0.0017734148,,,
4227072,4238,997,86,0.8850000500679016,26.64,0.002274421975016594,-0.13647293307973693,0.0122802734375,0.5747585296630859,-0.0008243286154235344,0.2,0.0003,0.002570044704164805,850,0.001738435,,,
4276224,4237,1009,87,0.8937857747077942,26.96,-0.003920788876712322,-0.13823601265903562,0.01287841796875,0.5438971519470215,-0.0008406747327171615,0.2,0.0003,0.0028388441476029885,860,0.0014691511,,,
4325376,4237,1020,88,0.884357213973999,26.84,0.0022838013246655464,-0.14529342899719874,0.015604654947916666,0.5559184551239014,-0.0011786461368804642,0.2,0.0003,0.002790626456226164,870,0.0066157063,,,
4374528,4237,1032,89,0.8978928327560425,28.59,0.003359996248036623,-0.13810491025991117,0.016988118489583332,0.5289260149002075,-0.0015264886816718597,0.2,0.0003,0.0030774155107186137,880,0.0044823135,,,
4423680,4237,1043,90,0.8874642848968506,28.73,0.00038977316580712795,-0.1378770747144396,0.015761311848958334,0.5564161539077759,-0.0009254578909349221,0.2,0.0003,0.002871620888314889,890,0.0017351066,,,
4472832,4237,1055,91,0.8905715346336365,27.89,0.003991999663412571,-0.14495572814485058,0.014420572916666667,0.5066308975219727,-0.0013062763627810152,0.2,0.0003,0.003194493766629118,900,0.0016960235,,,
4521984,4237,1067,92,0.8785000443458557,25.73,0.0005090660415589809,-0.13190339270901555,0.012972005208333333,0.5416452884674072,-0.0009253133231444129,0.2,0.0003,0.0028248533129954013,910,0.0061752065,,,
4571136,4238,1078,93,0.8786071538925171,28.43,-0.0020232212264090776,-0.1306409818974013,0.0114501953125,0.5577430129051208,-0.0006150159243285695,0.2,0.0003,0.0027556758343052932,920,0.0014599854,,,
4620288,4238,1090,94,0.8863928914070129,26.25,-0.003804639680311084,-0.12464453580711658,0.01201171875,0.5673039555549622,-0.0006135820519981886,0.2,0.0003,0.00263719477570703,930,0.0013731626,,,
4669440,4238,1101,95,0.874607264995575,26.81,0.0023021416272968054,-0.12380405303556472,0.013564046223958333,0.544605016708374,-0.001009036841909013,0.2,0.0003,0.0029504882208736187,940,0.0017998219,,,
4718592,4238,1113,96,0.8911429047584534,27.7,-0.0008865399868227541,-0.1263497307896614,0.012544759114583333,0.5352553725242615,-0.0008852228998875944,0.2,0.0003,0.0028517302833885576,950,0.007010363,,,
4767744,4238,1124,97,0.891499936580658,27.96,-0.006226505618542433,-0.138413170115867,0.018212890625,0.501752495765686,-0.0012039323173667071,0.2,0.0003,0.0033795581861340907,960,0.0034002122,,,
4816896,4238,1136,98,0.8831071257591248,27.2,0.0014364405069500208,-0.1359848965735485,0.014512125651041667,0.5052388906478882,-0.0007639049794306629,0.2,0.0003,0.0033076346454739298,970,0.0018239183,,,
4866048,4236,1148,99,0.8946070671081543,26.73,0.001399052795022726,-0.13652202115238954,0.012884521484375,0.5483128428459167,-0.0008711620087827517,0.2,0.0003,0.002825821492539641,980,0.0017046724,,,
4915200,4236,1160,100,0.8718570470809937,27.58,0.0004222154966555536,-0.1388764399763507,0.008681233723958333,0.5434409379959106,-0.0006207612105451214,0.2,0.0003,0.0029434925247793825,990,0.0018265384,,,
4964352,4236,1171,101,0.8775713443756104,26.03,-0.007547792978584766,-0.16700836763872454,0.030137125651041666,0.5573978424072266,-0.0028256424289793357,0.2,0.0003,0.0025763604238212188,1000,0.0022301397,,,
5013504,4228,1185,102,0.8801072835922241,28.01,-0.0013859409373253584,-0.15298463298628728,0.02017822265625,0.5428579449653625,-0.0014892046014817121,0.2,0.0003,0.0029397671630552696,1010,0.0020119802,,,
